"Filenames" "Genotype" "Sex"
"28" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_009.jan2011_distortion_corrected/stats-volumes/SERT_F_009.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"29" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_010.jan2011_distortion_corrected/stats-volumes/SERT_F_010.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"30" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_011.jan2011_distortion_corrected/stats-volumes/SERT_F_011.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "F"
"31" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_012.jan2011_distortion_corrected/stats-volumes/SERT_F_012.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "F"
"32" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_013.jan2011_distortion_corrected/stats-volumes/SERT_F_013.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "F"
"33" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_014.jan2011_distortion_corrected/stats-volumes/SERT_F_014.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "F"
"34" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_015.jan2011_distortion_corrected/stats-volumes/SERT_F_015.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "F"
"35" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_016.jan2011_distortion_corrected/stats-volumes/SERT_F_016.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"36" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_017.jan2011_distortion_corrected/stats-volumes/SERT_F_017.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"37" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_018.jan2011_distortion_corrected/stats-volumes/SERT_F_018.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"38" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_019.jan2011_distortion_corrected/stats-volumes/SERT_F_019.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"39" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_020.jan2011_distortion_corrected/stats-volumes/SERT_F_020.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
