"Filenames" "Genotype" "Sex"
"22" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5622.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5622.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"23" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5798.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5798.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"24" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5900.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5900.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"25" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5903.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5903.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"26" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5904.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5904.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"27" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5915.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5915.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"28" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5916.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5916.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"29" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5939.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5939.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"30" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5944.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5944.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"31" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5953.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5953.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"32" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5954.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5954.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"33" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5955.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5955.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"34" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5961.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5961.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"35" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5964.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5964.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"36" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5979.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5979.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"37" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5990.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5990.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"38" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5991.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5991.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"39" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_6083.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_6083.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"40" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_6087.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_6087.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"41" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_6089.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_6089.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"42" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_6091.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_6091.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
